id_processo;numero_sigilo;sigla_grau;procedimento;ramo_justica;sigla_tribunal;id_tribunal;recurso;id_ultimo_oj;dt_recebimento;id_ultima_classe;julgadom1
323964978;0703189-61.2023.8.07.0003;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;43179;2023-02-02;172;1
323981658;0006640-48.2017.8.07.0003;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6582;2017-05-31;283;1
324003244;0700336-34.2023.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6775;2023-01-18;120;1
324007168;0026553-27.2014.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2015-08-05;283;1
324064362;0043424-40.2011.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2011-09-08;283;1
324116577;0705566-67.2017.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;81325;2017-06-06;7;1
324135576;sigiloso(324135576);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6729;2021-05-05;283;1
324167280;sigiloso(324167280);G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6782;2015-03-11;300;1
324173847;0001030-23.2018.8.07.0017;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;16282;2018-07-06;10943;1
324184397;0049864-47.2014.8.07.0001;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;6549;2014-12-16;1707;1
324226172;0002292-95.2019.8.07.0009;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6995;2019-04-22;282;1
324269350;0715120-04.2022.8.07.0001;G2;Conhecimento não criminal;Justiça ;TJDFT;71;1;84674;2022-09-12;198;1
324292857;0705583-30.2022.8.07.0018;G2;Conhecimento não criminal;Justiça ;TJDFT;71;1;43085;2022-09-12;1728;1
324358702;0703361-89.2022.8.07.0018;G2;Conhecimento não criminal;Justiça ;TJDFT;71;1;43081;2022-05-09;1728;1
324365081;0707126-68.2022.8.07.0018;G2;Conhecimento não criminal;Justiça ;TJDFT;71;1;43081;2022-10-24;1728;1
324397377;0707252-60.2018.8.07.0018;G1;Conhecimento não criminal;Justiça ;TJDFT;71;0;81325;2018-07-30;7;1
324431583;0701432-94.2021.8.07.0005;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6782;2021-02-09;300;1
324470104;0737211-25.2021.8.07.0001;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;6637;2021-12-15;283;1
324556710;0704952-41.2021.8.07.0012;G1;Conhecimento criminal;Justiça ;TJDFT;71;0;12144;2021-10-25;283;1
